Tick ,Customer ID,State
605,4,Null Transaction
605,3,Null Transaction
605,2,Null Transaction
605,1,Null Transaction
606,4,Buy
606,3,Null Transaction
606,2,Null Transaction
606,1,Buy
611,4,Null Transaction
611,3,Null Transaction
611,2,Null Transaction
611,1,Null Transaction
614,4,Buy
614,3,Buy
614,2,Null Transaction
614,1,Null Transaction
611,4,Null Transaction
611,3,Null Transaction
611,2,Null Transaction
611,1,Buy
618,4,Null Transaction
618,3,Buy
618,2,Null Transaction
618,1,Buy
611,4,Null Transaction
611,3,Buy
611,2,Null Transaction
611,1,Null Transaction
615,4,Buy
615,3,Null Transaction
615,2,Null Transaction
615,1,Null Transaction
616,4,Null Transaction
616,3,Null Transaction
616,2,Null Transaction
616,1,Buy
615,4,Buy
615,3,Buy
615,2,Null Transaction
615,1,Null Transaction
616,4,Null Transaction
616,3,Buy
616,2,Null Transaction
616,1,Null Transaction
617,4,Buy
617,3,Null Transaction
617,2,Null Transaction
617,1,Null Transaction
625,4,Null Transaction
625,3,Null Transaction
625,2,Null Transaction
625,1,Buy
617,4,Null Transaction
617,3,Buy
617,2,Null Transaction
617,1,Buy
625,4,Null Transaction
625,3,Null Transaction
625,2,Null Transaction
625,1,Null Transaction
626,4,Null Transaction
626,3,Buy
626,2,Buy
626,1,Null Transaction
629,4,Buy
629,3,Buy
629,2,Null Transaction
629,1,Null Transaction
624,4,Null Transaction
624,3,Null Transaction
624,2,Buy
624,1,Null Transaction
629,4,Null Transaction
629,3,Null Transaction
629,2,Null Transaction
629,1,Null Transaction
628,4,Null Transaction
628,3,Null Transaction
628,2,Buy
628,1,Null Transaction
632,4,Null Transaction
632,3,Null Transaction
632,2,Null Transaction
632,1,Null Transaction
631,4,Null Transaction
631,3,Null Transaction
631,2,Null Transaction
631,1,Null Transaction
630,4,Null Transaction
630,3,Null Transaction
630,2,Null Transaction
630,1,Buy
636,4,Null Transaction
636,3,Null Transaction
636,2,Buy
636,1,Null Transaction
630,4,Null Transaction
630,3,Null Transaction
630,2,Buy
630,1,Null Transaction
635,4,Buy
635,3,Null Transaction
635,2,Null Transaction
635,1,Buy
633,4,Null Transaction
633,3,Null Transaction
633,2,Null Transaction
633,1,Buy
639,4,Null Transaction
639,3,Null Transaction
639,2,Null Transaction
639,1,Null Transaction
633,4,Null Transaction
633,3,Buy
633,2,Null Transaction
633,1,Buy
636,4,Null Transaction
636,3,Null Transaction
636,2,Buy
636,1,Null Transaction
636,4,Null Transaction
636,3,Buy
636,2,Null Transaction
636,1,Null Transaction
643,4,Null Transaction
643,3,Null Transaction
